RID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
10.42.0.211-77.234.44.200-42928-80-6,Jaguar XE 2.0L Diesel Prestige,Hyderabad,2017,4000,Diesel,Automatic,First,13.6 kmpl,1999 CC,177 bhp,5,38
182.22.25.124-10.42.0.211-443-35179-6,Mahindra Scorpio VLX,Kolkata,2012,62000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8,6.25
172.217.10.104-10.42.0.151-443-47858-6,Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Mumbai,2011,36000,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5,10.15
10.42.0.151-31.13.80.5-45047-443-6,Skoda Superb Elegance 1.8 TSI AT,Delhi,2014,80000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5,10.75
172.217.10.46-10.42.0.42-443-41664-6,Chevrolet Cruze LTZ AT,Pune,2012,137008,Diesel,Automatic,First,18.1 kmpl,1991 CC,147.9 bhp,4,4.65
172.217.12.202-10.42.0.211-443-60856-6,Mahindra Scorpio VLX,Delhi,2010,61001,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8,4.75
10.42.0.211-10.42.0.1-39586-53-17,Hyundai Verna 1.6 SX VTVT (O),Coimbatore,2015,52191,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5,7.78
172.217.9.227-10.42.0.151-443-59040-6,Hyundai i20 1.4 Asta CRDi with AVN,Hyderabad,2016,77076,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5,6.75
172.217.10.66-10.42.0.211-443-46163-6,Honda City ZX CVT,Hyderabad,2008,56000,Petrol,Automatic,First,16.4 kmpl,1497 CC,78 bhp,5,2.99
172.217.1.161-10.42.0.211-443-55849-6,Hyundai i10 Magna,Kolkata,2013,21000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,2.35
172.217.9.238-10.42.0.42-443-56196-6,Honda Amaze S i-Dtech,Delhi,2013,89429,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,3.65
172.217.12.170-10.42.0.42-443-40231-6,Maruti Wagon R LXI,Delhi,2012,45631,Petrol,Manual,Second,22.5 kmpl,998 CC,67.04 bhp,5,2.74
172.217.12.138-10.42.0.211-443-52309-6,Honda Brio S MT,Jaipur,2013,53959,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,3.5
203.130.53.126-10.42.0.211-80-39361-6,Hyundai i20 1.2 Sportz Option,Kochi,2014,55804,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5,4.76
10.42.0.42-85.93.5.83-34460-80-6,Volkswagen Vento 2013-2015 1.6 Comfortline,Kochi,2016,25899,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5,6.2
10.42.0.211-10.42.0.1-12120-53-17,Skoda Octavia Rider 1.9 TDI MT,Pune,2008,82000,Diesel,Manual,Second,18.7 kmpl,1896 CC,66 bhp,5,2.35
220.243.219.55-10.42.0.211-80-54762-6,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Mumbai,2014,52000,Diesel,Automatic,First,13.0 kmpl,2143 CC,204 bhp,5,24.5
10.42.0.211-10.42.0.1-56205-53-17,Renault Duster Petrol RxL,Pune,2013,20000,Petrol,Manual,First,13.24 kmpl,1598 CC,102.57 bhp,5,6
10.42.0.211-10.42.0.1-37340-53-17,Hyundai EON Sportz,Hyderabad,2017,31829,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,3.65
10.42.0.211-10.42.0.1-40414-53-17,Maruti Swift VXI,Coimbatore,2016,18094,Petrol,Manual,Second,18.6 kmpl,1197 CC,85.8 bhp,5,6.26
216.58.219.196-10.42.0.211-443-39642-6,Nissan Micra Diesel,Jaipur,2011,80000,Diesel,Manual,Second,19.5 kmpl,1461 CC,null bhp,5,2.1
202.77.129.150-10.42.0.42-80-42923-6,Audi Q5 3.0 TDI Quattro Technology,Mumbai,2015,11964,Diesel,Automatic,First,13.22 kmpl,2967 CC,241.4 bhp,5,32.95
10.42.0.151-10.42.0.1-37432-53-17,Hyundai i20 1.2 Spotz,Coimbatore,2018,22684,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,7.8
10.42.0.211-52.88.110.117-39067-443-6,Honda Brio S MT,Bangalore,2014,43521,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,4.25
10.42.0.211-10.42.0.1-55599-53-17,Maruti Swift Dzire ZXi,Kochi,2014,49386,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5,4.86
10.42.0.42-65.52.108.74-51110-443-6,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,12248,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,4.9
201.74.160.31-10.42.0.151-31781-43477-17,Mahindra Xylo E8 ABS BS IV,Coimbatore,2014,67771,Diesel,Manual,First,11.68 kmpl,2498 CC,112 bhp,8,7.06
10.42.0.211-106.11.14.99-50149-443-6,Volkswagen Polo GTI,Delhi,2015,60007,Petrol,Automatic,First,17.21 kmpl,1798 CC,189 bhp,4,4.5
221.228.208.97-10.42.0.211-80-54267-6,Maruti Alto K10 VXI,Coimbatore,2011,48624,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,3.22
172.217.11.3-10.42.0.211-443-55692-6,Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2014,30000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,3.25
172.217.6.238-10.42.0.42-443-54357-6,Hyundai Grand i10 Sportz,Delhi,2016,81605,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,4.53
10.42.0.151-103.43.91.12-36011-443-6,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Coimbatore,2017,32642,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5,34.78
10.42.0.151-104.193.88.109-48410-80-6,Hyundai Verna 1.6 SX VTVT AT,Pune,2014,34200,Petrol,Automatic,First,15.74 kmpl,1591 CC,121.3 bhp,5,6.5
222.73.31.32-10.42.0.211-8288-42861-6,Fiat Punto EVO 1.2 Emotion,Chennai,2010,72204,Petrol,Manual,First,15.7 kmpl,1172 CC,67 bhp,5,2.25
10.42.0.211-98.139.199.205-60151-443-6,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Pune,2011,156347,Diesel,Manual,Second,12.99 kmpl,2494 CC,100 bhp,8,8
172.217.10.42-10.42.0.211-443-59108-6,Mahindra TUV 300 2015-2019 mHAWK100 T8 AMT,Kochi,2017,47357,Diesel,Automatic,First,18.49 kmpl,1493 CC,100 bhp,7,8.37
172.217.7.10-10.42.0.211-443-33523-6,Volkswagen Polo 1.5 TDI Comfortline,Coimbatore,2015,61738,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5,5.39
10.42.0.211-52.84.37.172-35028-443-6,BMW 5 Series 520d Luxury Line,Kochi,2018,32586,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5,37.3
10.42.0.211-23.219.23.167-36347-80-6,Mercedes-Benz GLE 350d,Coimbatore,2018,40129,Diesel,Automatic,First,11.57 kmpl,2987 CC,254.79 bhp,5,70.8
10.42.0.151-10.42.0.1-44092-53-17,Mercedes-Benz M-Class ML 350 CDI,Mumbai,2012,51000,Diesel,Automatic,First,11.74 kmpl,2987 CC,254.8 bhp,5,22.25
10.42.0.42-31.13.80.37-53126-443-6,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,10393,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,6.03
208.185.50.75-10.42.0.211-443-45597-6,Skoda Superb Elegance 1.8 TSI AT,Mumbai,2011,46000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5,4.9
10.42.0.42-31.13.80.37-46713-443-6,Hyundai i10 Sportz AT,Chennai,2013,21000,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5,3.96
222.186.49.224-10.42.0.211-80-58447-6,Hyundai i20 1.4 CRDi Asta,Hyderabad,2011,113562,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5,4.6
10.42.0.211-10.42.0.1-25432-53-17,Mahindra Scorpio VLX,Mumbai,2011,100010,Diesel,Manual,Second,12.05 kmpl,2179 CC,120 bhp,8,5.5
172.217.12.163-10.42.0.42-443-42661-6,Honda Brio V MT,Mumbai,2013,63107,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,3.25
180.149.153.68-10.42.0.211-80-55356-6,Hyundai i20 1.2 Magna Executive,Jaipur,2017,58500,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,6.25
10.42.0.211-106.39.169.66-33041-80-6,Ford Endeavour 4x2 XLT Limited Edition,Pune,2007,90000,Diesel,Manual,Fourth & Above,10.9 kmpl,2499 CC,143 bhp,7,3
192.229.173.173-10.42.0.151-443-52805-6,Hyundai Verna CRDi SX,Chennai,2011,108242,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5,4.25
10.42.0.211-104.254.66.16-57527-80-6,Toyota Fortuner 3.0 Diesel,Pune,2011,146300,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7,12.25
172.217.6.234-10.42.0.151-443-36151-6,BMW X1 sDrive20d,Pune,2011,62943,Diesel,Automatic,Second,17.05 kmpl,1995 CC,184 bhp,5,10.95
172.217.12.163-10.42.0.42-443-44956-17,Toyota Fortuner 4x2 AT,Delhi,2013,65000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7,16.5
172.217.7.195-10.42.0.151-80-38893-6,Honda Amaze V CVT Petrol,Pune,2018,1700,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.76 bhp,5,7.8
172.217.10.35-10.42.0.151-443-33429-6,Hyundai i10 Era 1.1,Kochi,2013,34697,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5,3.7
10.42.0.42-34.193.204.145-39112-443-6,Hyundai i20 1.2 Sportz,Hyderabad,2012,58000,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5,4
183.3.235.80-10.42.0.151-80-47478-6,BMW 3 Series 320d GT Luxury Line,Mumbai,2015,32500,Diesel,Automatic,First,19.59 kmpl,1995 CC,187.74 bhp,5,26.75
180.149.138.210-10.42.0.42-80-34799-6,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,58661,Diesel,Automatic,First,15.17 kmpl,1968 CC,181 bhp,5,28.03
10.42.0.211-10.42.0.1-64410-53-17,Maruti Swift VXI Optional,Kochi,2017,37124,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5,5.44
10.42.0.211-66.102.255.61-50926-80-6,Maruti Baleno Delta Automatic,Delhi,2017,44000,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,5,6.2
10.42.0.211-23.66.169.52-36241-80-6,Hyundai Accent GLE,Kolkata,2005,45200,Petrol,Manual,First,13.2 kmpl,1495 CC,94 bhp,5,0.9
172.217.7.196-10.42.0.151-443-42131-6,Maruti Ritz LXi,Mumbai,2016,11000,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5,3.95
10.42.0.211-106.11.30.199-37182-80-6,Tata Nano Lx,Pune,2011,65000,Petrol,Manual,Second,26.0 kmpl,624 CC,35 bhp,4,0.44
10.42.0.211-123.125.115.190-56889-80-6,Ford Figo Diesel EXI,Ahmedabad,2012,55005,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,2.75
172.217.12.142-10.42.0.211-443-35152-6,Volkswagen Passat Diesel Highline 2.0 TDI,Hyderabad,2011,81650,Diesel,Automatic,First,18.33 kmpl,1968 CC,167.7 bhp,5,7.5
10.42.0.1-10.42.0.42-53-45853-17,Fiat Linea Emotion Pack (Diesel),Chennai,2010,160000,Diesel,Manual,Second,19.0 kmpl,1248 CC,93 bhp,5,2.5
10.42.0.211-23.203.49.224-54054-443-6,Mahindra Xylo D4,Hyderabad,2015,169000,Diesel,Manual,First,14.95 kmpl,2489 CC,93.7 bhp,7,5
10.42.0.211-66.231.239.122-34579-80-6,Maruti Wagon R VXI,Hyderabad,2013,67263,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,3.6
10.42.0.211-106.11.129.143-45311-80-6,Toyota Etios G Safety,Kochi,2012,44223,Petrol,Manual,First,17.6 kmpl,1496 CC,88.7 bhp,5,3.99
10.42.0.151-10.42.0.1-22807-53-17,Hyundai Grand i10 Sportz,Coimbatore,2015,36840,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,5.64
10.42.0.211-10.42.0.1-25171-53-17,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Pune,2014,160000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,8,12
198.105.244.11-10.42.0.151-80-41262-6,Tata Indica V2 DLS TC,Kolkata,2008,133000,Diesel,Manual,First,16.8 kmpl,1405 CC,62 bhp,5,0.7
10.42.0.211-108.168.180.114-52420-5222-6,BMW 3 Series 320d Sport Line,Mumbai,2015,69123,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5,19
172.217.10.46-10.42.0.151-443-48726-6,Ford Endeavour 3.2 Titanium AT 4X4,Delhi,2017,38000,Diesel,Automatic,First,10.91 kmpl,3198 CC,197 bhp,7,30.48
10.42.0.211-66.102.255.61-58362-80-6,Maruti Ciaz Zeta,Mumbai,2017,5500,Petrol,Manual,First,21.56 kmpl,1462 CC,103.25 bhp,5,8.2
10.42.0.211-10.42.0.1-51365-53-17,Ford Figo 1.5D Titanium Plus MT,Kolkata,2015,1001,Diesel,Manual,First,25.83 kmpl,1498 CC,99 bhp,5,7.55
10.42.0.151-10.42.0.1-12748-53-17,Chevrolet Aveo U-VA 1.2 LS,Pune,2007,59000,Petrol,Manual,Third,15.26 kmpl,1150 CC,74.9 bhp,5,0.99
205.204.101.47-10.42.0.211-443-47189-6,Honda City 1.5 V AT,Delhi,2011,78256,Petrol,Automatic,First,16.8 kmpl,1497 CC,118 bhp,5,4.15
172.217.6.234-10.42.0.211-443-51023-6,Nissan Sunny XL,Chennai,2016,90000,Petrol,Manual,First,16.95 kmpl,1498 CC,97.6 bhp,5,6.2
172.217.12.206-10.42.0.211-80-55912-6,Maruti Swift Dzire VXI,Kolkata,2016,18000,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5,4.4
10.42.0.42-104.192.110.245-53767-80-6,Ford Figo Diesel Titanium,Kolkata,2012,60000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,2.1
10.42.0.151-10.42.0.1-46017-53-17,Fiat Grande Punto 1.3 Emotion (Diesel),Jaipur,2011,130000,Diesel,Manual,First,20.3 kmpl,1248 CC,75 bhp,5,2.2
10.42.0.211-66.198.24.240-48287-80-6,Hyundai Elite i20 Petrol Asta,Coimbatore,2018,32851,Petrol,Manual,First,18.6 kmpl,1197 CC,81.86 bhp,5,8.34
183.79.249.252-10.42.0.42-443-39797-6,Maruti Swift Dzire VDI,Kolkata,2014,32000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,4.35
180.76.174.197-10.42.0.211-80-52218-6,Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2014,62700,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,6.8
180.149.153.234-10.42.0.42-80-39695-6,Maruti Swift Dzire VDi,Jaipur,2010,71000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5,3.3
10.42.0.151-10.42.0.1-18309-53-17,Hyundai Grand i10 Sportz,Kochi,2016,19947,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,5.04
172.217.11.10-10.42.0.151-443-54729-6,Ford Endeavour 3.0L 4X4 AT,Hyderabad,2012,91000,Diesel,Automatic,First,11.4 kmpl,2953 CC,153.86 bhp,7,9.2
172.217.10.78-10.42.0.42-443-44422-6,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2014,74000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,5.7
180.163.255.159-10.42.0.211-80-34698-6,Mahindra TUV 300 2015-2019 mHAWK100 T8,Kochi,2018,55594,Diesel,Manual,First,18.49 kmpl,1493 CC,100 bhp,7,8.48
203.205.179.170-10.42.0.151-80-43520-6,BMW X6 xDrive 40d,Hyderabad,2013,58000,Diesel,Automatic,First,11.2 kmpl,2993 CC,306 bhp,4,48
10.42.0.211-10.42.0.1-57765-53-17,Renault Duster 110PS Diesel RxZ,Hyderabad,2012,110224,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5,6.1
183.3.235.80-10.42.0.151-80-46815-6,Maruti Wagon R LXI,Ahmedabad,2010,21002,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,2.75
151.101.22.2-10.42.0.211-443-39518-6,Maruti Ertiga SHVS VDI,Pune,2017,121000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7,8
172.217.12.170-10.42.0.151-443-57137-6,Maruti Alto LXi BSIII,Jaipur,2010,73513,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,1.85
172.217.3.98-10.42.0.151-443-54217-6,Maruti Wagon R AMT VXI Option,Jaipur,2015,34000,Petrol,Automatic,First,20.51 kmpl,998 CC,67 bhp,5,3.85
10.42.0.211-54.243.32.68-41555-443-6,Maruti Eeco 7 Seater Standard,Coimbatore,2017,28371,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,4.74
10.42.0.151-31.13.80.8-53834-443-6,Renault Duster 110PS Diesel RxL,Kochi,2013,74755,Diesel,Manual,First,19.6 kmpl,1461 CC,108.45 bhp,5,5.63
10.42.0.211-88.212.201.197-36467-443-6,Maruti Zen Estilo 1.1 LX BSIII,Kochi,2011,25805,Petrol,Manual,First,18.2 kmpl,1061 CC,64 bhp,5,2.62
163.177.151.166-10.42.0.211-443-33721-6,Renault Duster Petrol RxL,Kochi,2015,82603,Petrol,Manual,First,13.06 kmpl,1598 CC,102.53 bhp,5,4.9
172.217.10.10-10.42.0.151-443-41957-6,Honda Civic 2006-2010 1.8 S MT,Chennai,2006,110000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,2.65
172.217.10.110-10.42.0.151-443-43414-6,Mahindra XUV500 W8 2WD,Delhi,2012,88000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7,5.99
202.77.129.150-10.42.0.211-80-35168-6,Mahindra Verito 1.5 D6 BSIV,Chennai,2011,110000,Diesel,Manual,Second,21.0 kmpl,1461 CC,64.1 bhp,5,2.4
162.208.22.39-10.42.0.42-443-55492-6,Renault KWID Climber 1.0 MT,Delhi,2017,15000,Petrol,Manual,First,21.7 kmpl,999 CC,67 bhp,5,4.25
10.42.0.211-23.206.166.66-55767-80-6,Porsche Cayenne Diesel,Mumbai,2013,70000,Diesel,Automatic,First,15.15 kmpl,2967 CC,240 bhp,5,40
151.101.117.140-10.42.0.211-443-56169-6,Maruti Swift DDiS VDI,Pune,2008,150000,Diesel,Manual,Second,28.4 kmpl,1248 CC,74 bhp,5,2.7
172.217.6.227-10.42.0.151-443-41727-6,Datsun GO T Option,Hyderabad,2016,19000,Petrol,Manual,First,20.63 kmpl,1198 CC,67 bhp,5,2.99
203.205.158.35-10.42.0.211-80-35221-6,Hyundai i20 1.2 Magna,Chennai,2011,37442,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,3.4
172.217.11.14-10.42.0.151-443-33549-6,BMW 5 Series 2013-2017 520d Luxury Line,Coimbatore,2016,63111,Diesel,Automatic,Second,18.12 kmpl,1995 CC,190 bhp,5,30.8
203.205.158.23-10.42.0.151-80-48808-6,Maruti Ertiga ZDI,Mumbai,2012,88000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7,5.85
172.217.6.234-10.42.0.42-443-40006-6,Hyundai Grand i10 Magna,Jaipur,2014,42355,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,4
172.217.11.46-10.42.0.151-443-52064-6,BMW 3 Series 330i,Coimbatore,2011,75871,Petrol,Automatic,First,9.43 kmpl,2996 CC,254 bhp,5,14.12
157.240.2.35-10.42.0.211-443-60093-6,Chevrolet Cruze LTZ,Mumbai,2011,65000,Diesel,Manual,First,17.9 kmpl,1998 CC,163.7 bhp,5,4.55
172.217.10.74-10.42.0.211-443-33114-6,Mercedes-Benz M-Class ML 350 4Matic,Pune,2015,69000,Diesel,Automatic,First,0.0 kmpl,2987 CC,165 bhp,5,38
10.42.0.211-10.42.0.1-7599-53-17,Maruti Ritz LDi,Jaipur,2011,79232,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5,2.9
10.42.0.211-23.23.207.243-59426-443-6,Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Pune,2007,220000,Petrol,Automatic,Second,11.74 kmpl,1796 CC,186 bhp,5,6
172.217.10.42-10.42.0.211-443-33411-6,Hyundai i20 1.2 Magna Executive,Kochi,2016,28470,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,6.95
10.42.0.42-66.102.255.61-49849-443-6,Hyundai EON 1.0 Kappa Magna Plus Optional,Kolkata,2014,9759,Petrol,Manual,First,20.3 kmpl,998 CC,68.05 bhp,5,2.75
198.54.12.145-10.42.0.211-443-59871-6,Maruti Swift VDI,Pune,2014,75216,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,5.1
172.217.7.2-10.42.0.211-443-45089-6,Hyundai i20 Sportz 1.2,Chennai,2017,8000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,6.75
10.42.0.151-10.42.0.1-32011-53-17,Maruti Ritz ZXi,Mumbai,2014,59451,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5,3.69
10.42.0.211-98.139.180.149-45705-443-6,Maruti Swift VDI,Hyderabad,2013,53996,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,5.45
172.217.10.133-10.42.0.42-443-39988-6,Honda WRV i-VTEC VX,Kochi,2018,15135,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5,9.29
172.217.10.110-10.42.0.211-443-57958-6,Hyundai Xcent 1.2 Kappa AT S Option,Chennai,2015,53000,Petrol,Automatic,Second,16.9 kmpl,1197 CC,81.86 bhp,5,4
10.42.0.211-10.42.0.1-11222-53-17,Honda Amaze E i-Vtech,Kolkata,2013,40000,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,2.9
239.255.255.250-10.42.0.1-1900-50490-17,Hyundai Verna 1.6 SX VTVT (O),Pune,2013,21107,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5,5.25
10.42.0.211-10.42.0.1-27787-53-17,Honda City V MT,Mumbai,2014,56000,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5,5.75
10.42.0.151-10.42.0.1-20191-53-17,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,2017,19623,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5,13.12
172.217.10.35-10.42.0.211-443-54457-6,Mahindra XUV500 W8 2WD,Kochi,2014,70963,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,7.83
172.217.6.202-10.42.0.42-443-48012-6,Maruti Wagon R LXI CNG,Mumbai,2013,25755,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5,3.15
140.205.140.87-10.42.0.151-443-49254-6,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2013,51450,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7,10.4
162.208.22.39-10.42.0.42-443-57828-6,Maruti Swift VDI,Pune,2012,75000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,4.35
10.42.0.211-10.42.0.1-12703-53-17,Maruti Wagon R VXI AMT,Coimbatore,2017,37832,Petrol,Automatic,First,22.5 kmpl,998 CC,67 bhp,5,5.23
202.77.129.150-10.42.0.42-80-39293-6,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,43041,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,6.01
10.42.0.211-65.52.108.74-41980-443-6,Honda Amaze VX i-DTEC,Hyderabad,2014,97236,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,4.4
172.217.11.3-10.42.0.151-443-44517-6,BMW 3 Series 320d Highline,Chennai,2010,83000,Diesel,Automatic,First,16.07 kmpl,1995 CC,181 bhp,5,12.75
10.42.0.211-52.9.59.64-37404-443-6,Ford Figo Petrol Titanium,Delhi,2011,65000,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5,2.4
10.42.0.211-66.231.239.95-48374-443-6,Volkswagen Ameo 1.2 MPI Trendline,Kochi,2018,46007,Petrol,Manual,First,17.0 kmpl,1198 CC,73.75 bhp,5,5.71
192.229.173.173-10.42.0.42-80-41630-6,Ford Ecosport 1.5 DV5 MT Trend,Kochi,2015,65925,Diesel,Manual,Second,22.7 kmpl,1498 CC,89.84 bhp,5,5.49
10.42.0.211-47.89.67.245-46371-443-6,Honda City 1.3 EXI,Pune,2004,73500,Petrol,Manual,Second,13.0 kmpl,1343 CC,90 bhp,5,1.3
203.205.158.63-10.42.0.42-80-48957-6,Mahindra XUV500 W6 2WD,Kolkata,2014,55000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7,8.5
182.22.120.252-10.42.0.211-443-51984-6,Toyota Fortuner 4x2 Manual,Delhi,2012,115000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,12.99
172.217.10.234-10.42.0.151-443-39869-6,Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2017,31184,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,5
10.42.0.211-111.1.17.152-45466-8077-6,Maruti Dzire AMT ZDI Plus,Pune,2017,41747,Diesel,Automatic,First,28.4 kmpl,1248 CC,73.75 bhp,5,9
202.77.129.230-10.42.0.211-80-51592-6,Maruti Swift VDI,Kochi,2016,38143,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,5.22
180.149.136.194-10.42.0.211-80-50431-6,Volkswagen Polo Petrol Highline 1.2L,Pune,2012,19030,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5,3.8
10.42.0.211-23.66.169.49-43189-80-6,Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,2019,20877,Petrol,Manual,First,18.16 kmpl,1197 CC,78.9 bhp,5,7.27
172.217.12.206-10.42.0.151-443-55648-6,Maruti Swift VXI,Mumbai,2016,23555,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,5.1
10.42.0.151-103.235.46.211-40341-443-6,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Bangalore,2013,29000,Diesel,Automatic,First,14.21 kmpl,2143 CC,203 bhp,5,29
10.42.0.151-104.192.108.27-41378-80-6,Maruti Wagon R VXI,Pune,2013,61000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,2.9
10.42.0.151-10.42.0.1-16888-53-17,Tata Nano Lx BSIV,Kochi,2012,4187,Petrol,Manual,First,26.0 kmpl,624 CC,35 bhp,4,1.38
172.217.6.227-10.42.0.211-443-53412-6,Skoda Laura 1.8 TSI Ambiente,Bangalore,2011,46000,Petrol,Manual,First,13.4 kmpl,1798 CC,157.8 bhp,5,5.5
